id|nombre|regionId|provincixId|createdAt|updatedAt
323|Futaleufú|14|48|2023-09-24|2023-09-24
324|Hualaihué|14|48|2023-09-24|2023-09-24
325|Palena|14|48|2023-09-24|2023-09-24
326|Aysén|15|49|2023-09-24|2023-09-24
327|Cisnes|15|49|2023-09-24|2023-09-24
328|Guaitecas|15|49|2023-09-24|2023-09-24
329|Lago Verde|15|50|2023-09-24|2023-09-24
330|Coyhaique|15|50|2023-09-24|2023-09-24
331|Cochrane|15|51|2023-09-24|2023-09-24
332|O’Higgins|15|51|2023-09-24|2023-09-24
333|Tortel|15|51|2023-09-24|2023-09-24
334|Chile Chico|15|52|2023-09-24|2023-09-24
335|Río Ibáñez|15|52|2023-09-24|2023-09-24
336|Porvenir|16|53|2023-09-24|2023-09-24
337|Primavera|16|53|2023-09-24|2023-09-24
338|Timaukel|16|53|2023-09-24|2023-09-24
339|Punta Arenas|16|54|2023-09-24|2023-09-24
340|Laguna Blanca|16|54|2023-09-24|2023-09-24
341|Río Verde|16|54|2023-09-24|2023-09-24
342|San Gregorio|16|54|2023-09-24|2023-09-24
343|Natales|16|55|2023-09-24|2023-09-24
344|Torres del Paine|16|55|2023-09-24|2023-09-24
345|Cabo de Hornos|16|56|2023-09-24|2023-09-24
346|Antártica|16|56|2023-09-24|2023-09-24
